run;read_iops;write_iops;read_bw_MBps;write_bw_MBps;read_lat_avg_ms;write_lat_avg_ms
1;8932;8932;34.9;34.9;0.09698;0.00796982
2;8907;8907;34.8;34.8;0.09861;0.0085203
3;3665;3665;14.3;14.3;0.25573;0.00981049
4;8539;8539;33.4;33.4;0.10507;0.00735817
5;8579;8579;33.5;33.5;0.10116;0.0096383
6;8791;8791;34.3;34.3;0.09817;0.00871893
7;8327;8327;32.5;32.5;0.10222;0.0102649
8;8660;8660;33.8;33.8;0.10089;0.00923676
9;9370;9370;36.6;36.6;0.09456;0.00743449
10;8521;8521;33.3;33.3;0.10081;0.0100419
