Method,Name,Error,Occurrences
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 7'),395
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 6'),563
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 3'),401
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 8'),521
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 2'),378
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 3'),384
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 4'),359
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 7'),417
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 1'),383
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 4'),429
GET,/Pedidos/5925,HTTPError('500 Server Error: Internal Server Error for url: /Pedidos/5925'),3
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 12'),419
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 11'),382
GET,/Mesas,RemoteDisconnected('Remote end closed connection without response'),643
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 9'),407
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 3'),370
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 7'),392
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 9'),521
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 9'),434
GET,/Pedidos/5925,RemoteDisconnected('Remote end closed connection without response'),1745
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 12'),411
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 2'),546
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 11'),361
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 3'),412
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 9'),399
GET,/Categorias,HTTPError('500 Server Error: Internal Server Error for url: /Categorias'),4
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 7'),588
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 1'),411
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 10'),601
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 13'),401
GET,/Mesas,HTTPError('500 Server Error: Internal Server Error for url: /Mesas'),2
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 8'),423
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 1'),370
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 12'),404
GET,/Categorias,RemoteDisconnected('Remote end closed connection without response'),2456
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 2'),408
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 13'),394
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 5'),420
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 8'),339
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 5'),377
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 5'),400
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 1'),407
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 12'),414
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 9'),430
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 10'),390
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 1'),567
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 2'),385
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 8'),378
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 4'),585
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 11'),380
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 2'),409
