run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000000;1;1024KiB;128MiB;128;0.0052;0.03;0.04;0.10;0;15496728;34324;454556;0;0;709;15131
2;0,000000;1;1024KiB;128MiB;128;0.0052;0.04;0.04;0.07;0;15498508;34364;454568;0;0;707;15133
3;0,000000;1;1024KiB;128MiB;128;0.0050;0.04;0.04;0.06;0;15505212;34388;454604;0;0;700;15140
4;0,000000;1;1024KiB;128MiB;128;0.0054;0.04;0.04;0.07;0;15505736;34420;454556;0;0;700;15140
5;0,000000;1;1024KiB;128MiB;128;0.0048;0.04;0.04;0.05;0;15489084;34468;454568;0;0;716;15124
6;0,000000;1;1024KiB;128MiB;128;0.0048;0.03;0.04;0.09;0;15498104;34500;454608;0;0;708;15132
7;0,000000;1;1024KiB;128MiB;128;0.0048;0.04;0.04;0.05;0;15495104;34532;454576;0;0;710;15130
8;0,000000;1;1024KiB;128MiB;128;0.0048;0.03;0.04;0.07;0;15493696;34564;454612;0;0;710;15130
9;0,000000;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.08;0;15498248;34604;454568;0;0;707;15133
10;0,000000;1;1024KiB;128MiB;128;0.0049;0.03;0.04;0.07;0;15498940;34636;454608;0;0;707;15133
