run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;17174864825;6189367630;1279603152;68466566;1.00;11116.40;24501.40;9.60;4.20;86.40;0.00;0;87.62;0.14;0.48;0.54;1.00;1.20
2;18251567947;6445922079;1305604716;67570892;4.00;11096.00;20377.20;8.80;3.80;87.20;0.00;0;87.30;0.56;0.57;0.57;4.00;1.40
3;18737280908;6577295020;1344052935;68198581;1.20;11821.00;19943.80;9.40;4.00;86.60;0.00;0;87.02;0.37;0.52;0.55;1.20;1.00
4;18907961482;6752810132;1380863988;72444976;3.00;11563.00;20156.20;10.20;4.40;85.60;0.00;0;85.97;0.65;0.55;0.56;3.00;1.00
5;18221228319;6449599087;1316754309;73209407;1.20;14659.40;28119.60;12.20;5.20;82.80;0.00;0;85.87;0.60;0.57;0.57;1.20;1.00
6;18576439304;6692780072;1346914734;75760201;2.00;11115.00;21144.20;9.60;4.40;86.20;0.00;0;85.49;1.03;0.67;0.60;2.00;1.40
7;18854542982;6731460389;1368281834;75470188;1.80;11960.00;20498.00;10.00;4.00;85.80;0.00;0;87.08;1.76;0.94;0.70;1.80;1.00
8;19234099320;6839924519;1356221575;78701264;1.80;15228.20;26056.40;11.40;5.40;83.00;0.00;0;85.08;0.93;0.86;0.68;1.80;1.20
9;18961921308;6877845512;1359013713;77146419;2.00;8515.20;14726.60;7.20;3.20;89.60;0.00;0;86.87;0.41;0.72;0.64;2.00;1.00
10;19287322995;6864752008;1368755184;78343610;1.00;15653.00;26285.60;11.60;4.80;83.60;0.00;0;86.41;0.16;0.60;0.61;1.00;1.00
