run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;201;169;8;2,50;14,62;14,62;14,12;15,50;enp6s18;1188;1404
2;225;189;8;8,75;14,50;14,75;14,00;16,38;enp6s18;1029;1194
3;221;185;8;3,75;15,00;14,62;14,25;15,75;enp6s18;1341;1583
4;198;166;8;5,00;14,75;14,75;14,38;15,50;enp6s18;1347;1577
5;219;183;8;6,25;15,62;14,75;14,38;16,12;enp6s18;812;935
6;203;170;8;5,00;14,75;14,88;14,25;16,62;enp6s18;1282;1463
7;213;178;8;5,00;15,12;14,75;14,25;16,75;enp6s18;1241;1484
8;214;179;8;6,25;14,75;14,75;14,25;15,88;enp6s18;1221;1415
9;223;187;8;2,50;14,50;15,75;14,00;20,75;enp6s18;831;951
10;231;194;8;1,25;14,62;14,62;14,38;15,75;enp6s18;1244;1510
