run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;28696192655;20014758308;2526580204;350727560;5.80;5317.60;33621.20;40.60;15.60;43.60;0.00;.69;32.09;6.03;3.45;2.70;5.80;2.20
2;37389445065;33194184950;3166357669;496612665;30.80;4839.00;27324.80;44.60;13.80;41.40;0.00;.30;29.61;13.61;5.70;3.50;30.80;4.80
3;29808411708;26134486196;2428993628;354398627;8.40;4850.60;32825.20;38.20;13.80;47.40;0.00;.67;35.30;9.47;6.05;3.77;8.40;2.60
4;32565100989;32653589546;2502190742;375258771;11.00;4965.40;35466.60;42.20;13.00;44.20;0.00;.70;38.52;7.34;6.06;3.91;11.00;3.60
5;34496676825;36707911543;2488915910;377098231;5.40;4562.60;37085.40;37.60;11.80;49.60;0.00;.66;36.11;7.81;6.43;4.20;5.40;2.60
6;37629847883;44267927466;2586738006;409701781;9.80;4834.40;36259.00;39.60;12.20;47.20;0.00;.55;36.59;6.02;6.22;4.27;9.80;1.40
7;40149348328;47717782824;2635776258;437175941;9.60;4836.60;40904.20;35.60;10.00;54.00;0.00;.66;49.12;7.87;6.64;4.55;9.60;2.00
8;39385052937;46197508050;2582839883;436864797;5.00;4859.40;37542.60;38.80;10.80;49.80;0.00;.56;45.74;7.06;6.69;4.70;5.00;3.00
9;43166258519;58808880036;2614134923;435314488;3.80;4670.40;37196.00;39.40;10.00;50.20;0.00;.59;37.48;4.93;6.02;4.64;3.80;3.40
10;42847054130;61894358318;2527618509;435160339;6.40;4790.40;41561.40;37.00;9.40;53.20;0.00;.60;40.79;6.13;6.17;4.79;6.40;2.20
