run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;108;90.8;8;7,50;15,62;70,00;14,62;196,25;enp0s31f6;2812;2324
2;108;90.9;8;10,00;17,00;16,75;14,62;21,25;enp0s31f6;1241;1271
3;108;90.2;8;10,00;17,12;15,62;14,62;19,75;enp0s31f6;1328;1332
4;108;90.9;8;8,75;16,25;16,00;14,38;20,75;enp0s31f6;1395;1413
5;110;92.2;8;10,00;15,50;15,50;14,75;17,50;enp0s31f6;1131;1139
6;107;89.6;8;10,00;15,50;16,25;14,62;20,38;enp0s31f6;1767;1774
7;108;90.8;8;10,00;15,00;15,50;14,75;17,50;enp0s31f6;1894;1894
8;107;90.0;8;6,25;15,75;15,50;14,62;17,38;enp0s31f6;901;891
9;109;91.7;8;6,25;16,38;15,88;14,75;22,88;enp0s31f6;1947;1951
10;109;91.5;8;6,25;14,62;15,12;14,25;17,00;enp0s31f6;553;611
