run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;109;91.7;8;6,25;14,75;14,75;14,25;16,38;enp6s18;1308;1544
2;109;91.7;8;3,75;14,75;14,88;14,38;16,38;enp6s18;673;812
3;109;91.8;8;8,75;14,50;14,75;14,25;16,75;enp6s18;1739;2017
4;109;91.8;8;0,00;14,62;14,75;14,25;16,50;enp6s18;1233;1427
5;104;87.4;8;5,00;14,50;15,00;13,25;17,50;enp6s18;1152;1331
6;110;92.0;8;7,50;15,12;14,88;14,12;16,50;enp6s18;1096;1362
7;109;91.4;8;8,75;15,50;14,88;14,25;16,25;enp6s18;704;826
8;109;91.6;8;5,00;15,25;15,25;14,25;17,75;enp6s18;1287;1470
9;109;91.5;8;8,75;14,50;15,62;14,25;19,25;enp6s18;1270;1465
10;109;91.7;8;7,50;16,12;15,12;14,38;17,50;enp6s18;1854;2107
