run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000000;1;1024KiB;128MiB;128;0.0051;0.04;0.04;0.08;0;15537136;21768;457248;0;0;685;15164
2;0,000000;1;1024KiB;128MiB;128;0.0067;0.04;0.05;0.07;0;15533848;21824;457284;0;0;685;15165
3;0,000000;1;1024KiB;128MiB;128;0.0053;0.04;0.04;0.09;0;15526340;21864;457244;0;0;689;15160
4;0,000000;1;1024KiB;128MiB;128;0.0066;0.04;0.05;0.10;0;15501896;21912;457220;0;0;765;15084
5;0,000000;1;1024KiB;128MiB;128;0.0054;0.04;0.04;0.07;0;15516248;21952;457232;0;0;700;15149
6;0,000000;1;1024KiB;128MiB;128;0.0063;0.04;0.05;0.08;0;15522884;21992;457256;0;0;694;15156
7;0,000000;1;1024KiB;128MiB;128;0.0068;0.04;0.05;0.08;0;15512648;22056;457232;0;0;701;15148
8;0,000000;1;1024KiB;128MiB;128;0.0053;0.04;0.04;0.05;0;15534724;22112;457248;0;0;685;15165
9;0,000000;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.10;0;15526360;22160;457240;0;0;689;15160
10;0,000000;1;1024KiB;128MiB;128;0.0050;0.04;0.04;0.05;0;15527732;22200;457276;0;0;692;15158
