run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;18049613456;12958129527;1531527186;232779874;5.40;2661.60;17467.60;20.20;6.80;72.60;0.00;.33;70.20;2.45;2.12;1.74;5.40;1.00
2;18821580032;12598588754;1685072848;242999676;4.60;3355.80;17734.00;28.60;9.40;61.60;0.00;.46;57.39;4.42;2.76;2.00;4.60;1.80
3;19731004619;14757284083;1690034608;243183120;8.00;3381.60;20231.60;27.80;9.20;62.60;0.00;.33;59.12;5.57;3.31;2.23;8.00;2.80
4;21334340422;18773125651;1717195404;254404573;1.40;3598.00;21798.40;30.00;10.40;59.20;0.00;.40;54.70;4.84;3.72;2.49;1.40;1.20
5;21133127932;20746167873;1618290414;251945867;4.60;3258.20;21214.80;28.40;8.40;62.60;0.00;.39;58.19;3.29;3.48;2.48;4.60;4.80
6;22886321763;23339469190;1709133419;264916568;3.00;3150.80;18875.40;30.00;8.40;61.20;0.00;.39;57.95;5.50;4.17;2.82;3.00;1.40
7;22154537313;25157384673;1594898648;252858986;4.60;3468.60;21906.40;32.80;9.60;57.00;0.00;.40;54.71;3.77;3.88;2.84;4.60;2.80
8;23490133188;27850210286;1634294662;264177870;11.60;3684.40;22458.60;35.20;9.20;54.80;0.00;.33;56.06;4.08;3.95;2.94;11.60;3.20
9;26029873400;32408639040;1704507199;289202842;5.00;3411.60;22582.40;32.60;8.60;58.40;0.00;.33;58.70;3.90;3.88;3.01;5.00;1.80
10;28710768;8269287;3262052;98154;1.00;206.20;649.40;4.20;1.00;94.60;0.00;0;100.00;3.06;3.76;3.05;1.00;1.00
