run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;284;238;8;3,75;14,38;15,12;13,38;17,25;enp6s18;8145;9343
2;274;230;8;7,50;15,50;14,75;14,00;16,12;enp6s18;9015;10320
3;275;231;8;2,50;14,38;14,62;14,00;15,88;enp6s18;10244;11773
4;289;243;8;7,50;15,38;15,88;14,25;18,12;enp6s18;6201;7223
5;283;238;8;5,00;14,25;14,75;13,88;17,50;enp6s18;9849;11466
6;267;224;8;3,75;14,62;14,75;14,12;16,12;enp6s18;7263;8443
7;270;227;8;6,25;15,75;14,75;14,12;16,12;enp6s18;6780;8031
8;253;212;8;7,50;14,75;14,62;14,00;15,38;enp6s18;7599;8906
9;241;202;8;5,00;14,88;15,50;14,00;17,25;enp6s18;9549;10953
10;223;187;8;5,00;14,62;14,88;14,00;17,88;enp6s18;8132;9603
