run;read_iops;write_iops;read_bw_MBps;write_bw_MBps;read_lat_avg_ms;write_lat_avg_ms
1;5711;5711;22.3;22.3;0.1683;0.00407021
2;5755;5755;22.5;22.5;0.16777;0.00355646
3;5224;5224;20.4;20.4;0.18451;0.00409915
4;5444;5444;21.3;21.3;0.177;0.00391738
5;5192;5192;20.3;20.3;0.18572;0.00395768
6;5529;5529;21.6;21.6;0.17421;0.00380642
7;5536;5536;21.6;21.6;0.17436;0.00374783
8;5079;5079;19.8;19.8;0.18967;0.00425101
9;5093;5093;19.9;19.9;0.18894;0.00451809
10;5101;5101;19.9;19.9;0.18855;0.00442432
