run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;44455770986;16902839792;3217727865;185112199;2.80;24358.80;65359.00;21.40;8.80;69.60;0.00;0;64.60;2.54;2.03;2.01;2.80;1.20
2;45219891659;16899877386;3285758968;193997759;2.80;26596.60;65849.40;22.00;10.00;68.00;0.00;0;65.94;2.91;2.21;2.07;2.80;1.20
3;46624629101;17392472502;3332230624;202637325;7.80;26754.80;68583.60;22.20;10.20;67.80;0.00;0;64.65;2.62;2.25;2.10;7.80;1.00
4;47835767997;18086790331;3360356317;207912053;2.20;25592.00;65006.20;21.40;9.00;69.60;0.00;0;66.87;2.49;2.29;2.12;2.20;1.00
5;48832445392;18038957280;3423087392;213713511;1.80;26523.00;65829.40;22.40;8.40;69.20;0.00;0;65.07;2.19;2.27;2.12;1.80;1.20
6;48408538334;19017974906;3381081247;213031597;5.40;24246.60;57881.60;20.20;8.80;71.00;0.00;0;63.43;2.83;2.41;2.18;5.40;1.20
7;49145120817;18873198804;3388863859;216763215;2.40;25898.80;59342.80;21.40;9.20;69.40;0.00;0;61.99;2.51;2.46;2.21;2.40;1.40
8;50200492415;18920744340;3477001536;224518693;2.80;26782.80;58680.20;20.60;9.60;69.60;0.00;0;63.40;1.18;2.12;2.11;2.80;1.00
9;47811939740;17594066781;3241174133;202854003;2.60;17450.80;45413.40;16.20;6.60;76.80;0.00;0;72.24;1.84;2.16;2.12;2.60;1.60
10;49823026155;19137932496;3430955248;220513830;2.20;26757.60;62125.20;21.60;9.80;68.60;0.00;0;62.42;2.29;2.25;2.16;2.20;1.40
