run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000000;1;1024KiB;128MiB;128;0.0050;0.04;0.04;0.08;0;15432100;22552;443436;0;0;788;15070
2;0,000000;1;1024KiB;128MiB;128;0.0050;0.04;0.04;0.05;0;15485764;22600;443540;0;0;736;15122
3;0,000000;1;1024KiB;128MiB;128;0.0053;0.04;0.04;0.07;0;15484256;22656;443556;0;0;738;15120
4;0,000000;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.09;0;15504432;22696;443544;0;0;718;15140
5;0,000000;1;1024KiB;128MiB;128;0.0049;0.03;0.04;0.08;0;15498120;22736;443500;0;0;724;15134
6;0,000000;1;1024KiB;128MiB;128;0.0047;0.04;0.04;0.04;0;15496228;22776;443532;0;0;726;15132
7;0,000000;1;1024KiB;128MiB;128;0.0049;0.04;0.04;0.05;0;15500180;22816;443556;0;0;722;15136
8;0,000000;1;1024KiB;128MiB;128;0.0048;0.03;0.04;0.09;0;15492648;22864;443556;0;0;729;15129
9;0,000000;1;1024KiB;128MiB;128;0.0048;0.03;0.04;0.08;0;15484236;22920;443524;0;0;737;15120
10;0,000000;1;1024KiB;128MiB;128;0.0049;0.03;0.04;0.08;0;15488956;22968;443536;0;0;732;15125
