run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;26964695103;15363812471;2423839891;343577599;7.00;5121.20;31634.40;38.80;13.80;46.60;0.00;.63;46.46;5.45;4.78;4.66;7.00;1.40
2;33460284161;26185877937;2786262681;429713775;22.00;4369.80;28899.80;44.60;12.20;43.00;0.00;.46;52.01;5.35;4.79;4.67;22.00;4.00
3;33279972645;29584149608;2563083945;395808521;5.40;4955.40;36929.00;40.80;11.80;46.80;0.00;.60;44.81;6.54;5.32;4.87;5.40;2.20
4;35621612944;34775277889;2611918913;402178741;5.80;4896.60;37334.60;42.40;11.20;45.60;0.00;.66;40.50;4.89;5.01;4.79;5.80;2.20
5;35911548630;37985630565;2552575184;397226843;5.60;4875.40;40166.20;43.40;11.60;44.60;0.00;.69;42.63;4.15;4.80;4.73;5.60;3.00
6;36506029555;39499377027;2546669450;405890235;10.40;5134.60;40335.20;44.20;11.40;43.60;0.00;.60;40.80;5.10;5.13;4.86;10.40;5.00
7;41757946678;56154263288;2599238761;438688621;5.60;4902.00;41089.20;43.00;10.20;46.40;0.00;.56;42.16;3.72;4.65;4.72;5.60;2.80
8;43854478321;59470007530;2656558975;449862636;5.40;4518.80;39207.60;41.60;8.80;48.80;0.00;.59;44.90;7.28;5.42;4.97;5.40;11.00
9;43436167627;58690284657;2614329352;450894012;2.60;4896.20;44310.20;41.40;9.20;48.80;0.00;.70;42.76;6.10;5.37;4.99;2.60;3.80
10;44019463811;63707268979;2575203776;460666518;7.80;4830.00;38056.80;43.80;9.40;46.40;0.00;.43;27.76;6.63;5.68;5.12;7.80;1.20
