run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;100;84.3;8;5,00;14,50;15,00;14,25;16,75;enp6s18;4534;5155
2;101;84.9;8;5,00;15,00;14,75;13,88;15,62;enp6s18;4626;5302
3;100;83.9;8;5,00;14,75;15,50;14,38;18,50;enp6s18;5165;5948
4;100;84.3;8;7,50;14,75;14,62;14,25;16,12;enp6s18;5098;5822
5;101;84.4;8;13,75;14,62;14,75;13,88;17,12;enp6s18;5610;6376
6;100;84.2;8;7,50;15,75;15,62;14,12;17,38;enp6s18;5047;5719
7;101;84.6;8;3,75;15,50;15,00;14,25;17,25;enp6s18;5181;5948
8;100;84.3;8;7,50;15,50;14,75;13,75;15,88;enp6s18;4538;5177
9;101;84.5;8;7,50;14,88;15,25;14,25;18,12;enp6s18;3823;4387
10;99.9;83.8;8;1,25;16,12;16,38;14,25;21,50;enp6s18;6025;6939
