run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;26.0;21.8;8;6,25;14,88;14,62;13,88;15,50;enp6s18;8088;9332
2;22.5;18.8;8;7,50;14,00;14,50;13,00;17,12;enp6s18;5747;6595
3;28.0;23.5;8;7,50;14,75;15,00;14,25;16,50;enp6s18;6537;7452
4;27.2;22.8;8;11,25;15,12;14,88;14,12;16,62;enp6s18;8666;9823
5;28.1;23.6;8;7,50;13,75;14,88;12,88;17,75;enp6s18;8123;9308
6;25.9;21.8;8;10,00;13,88;14,75;13,62;16,75;enp6s18;6497;7665
7;30.8;25.9;8;10,00;14,88;15,00;13,25;17,25;enp6s18;7865;9182
8;34.6;29.0;8;6,25;14,62;14,75;13,50;17,62;enp6s18;8335;9642
9;32.8;27.5;8;3,75;15,38;15,50;13,12;18,62;enp6s18;8088;9339
10;30.9;25.9;8;2,50;13,75;14,62;13,25;16,50;enp6s18;6999;8212
