Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/Categorias,3273,207,9,10.517972410566115,0.41090000013355166,254.4860999987577,115.22089825847846,2.955156244366097,0.18689805761802078,9,11,12,13,18,22,34,49,150,250,250
GET,/Mesas,826,50,9,10.836786198557384,0.3632000007200986,149.23460000136402,680.3656174334141,0.7457864521376095,0.04514445836184077,9,12,13,14,19,24,32,43,150,150,150
GET,/Pedidos/5925,2529,129,9,11.649578449962338,0.4608000017469749,220.73760000057518,341.6370106761566,2.2834067039419064,0.11647270257354919,9,12,14,15,19,24,33,53,150,220,220
GET,/Productos,3273,0,7,8.60704051327858,3.1679999956395477,164.63980000116862,750.0,2.955156244366097,0.0,7,9,10,10,13,17,23,32,80,160,160
PUT,Abrir Mesa,3273,0,9,10.500952826124953,5.299500000546686,226.3872000039555,162.34127711579592,2.955156244366097,0.0,9,11,12,13,16,18,22,26,54,230,230
POST,Agregar Item,8182,3,7,8.817010559771235,4.266299998562317,258.74340000154916,98.72231728183819,7.387439166331624,0.0027086675017104463,7,8,9,10,12,14,17,24,130,260,260
PUT,Cerrar Mesa,3273,0,7,8.51082279252147,4.838300003029872,125.20740000036312,57.26397800183318,2.955156244366097,0.0,7,8,9,10,11,13,17,21,71,130,130
,Aggregated,24629,389,8,9.556841877444672,0.3632000007200986,258.74340000154916,234.85988062852735,22.237257299875527,0.3512238860551212,8,9,11,11,14,18,24,33,140,230,260
