run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;94.6;79.3;8;3,75;15,00;15,50;13,88;18,75;enp6s18;7446;8550
2;94.7;79.4;8;6,25;15,62;15,88;13,38;21,50;enp6s18;8955;10131
3;93.9;78.8;8;6,25;14,62;14,62;14,00;16,75;enp6s18;6970;7935
4;95.0;79.7;8;10,00;14,88;14,75;13,88;17,00;enp6s18;9298;10539
5;94.3;79.1;8;6,25;14,62;14,88;14,00;16,12;enp6s18;6122;6966
6;94.7;79.5;8;10,00;14,62;15,38;14,00;22,50;enp6s18;8730;9982
7;94.1;79.0;8;6,25;14,88;15,12;14,12;16,50;enp6s18;4755;5576
8;94.0;78.8;8;3,75;14,62;14,75;14,25;15,88;enp6s18;6969;8107
9;93.8;78.7;8;10,00;16,25;15,12;14,25;17,62;enp6s18;3561;4206
10;94.1;79.0;8;10,00;14,62;14,62;14,38;16,25;enp6s18;7331;8571
