run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;14183004;25268;1391600;0;0;1642;13840
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13986924;25436;1397680;0;0;1806;13671
3;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.04;0.23;0;13909828;25532;1402424;0;0;1882;13590
4;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13989868;25692;1426752;0;0;1787;13662
5;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.05;0;13942420;25796;1448748;0;0;1815;13613
6;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13910616;26048;1456204;0;0;1838;13583
7;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.05;0.24;0;13877076;26248;1463496;0;0;1862;13551
8;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;14049340;26344;1468732;0;0;1692;13717
9;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;14035420;26440;1474328;0;0;1702;13701
10;0,000016;1;1024KiB;128MiB;128;0.0055;0.04;0.04;0.07;0;14025820;26592;1482628;0;0;1708;13688
