run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.08;0;13254076;68724;2436468;0;0;1509;12943
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13248648;68820;2437396;0;0;1513;12938
3;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.07;0;13254176;68972;2438732;0;0;1506;12943
4;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13259716;69076;2439784;0;0;1500;12948
5;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13281216;69220;2441264;0;0;1478;12969
6;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13267428;69356;2442428;0;0;1490;12956
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13242200;69524;2443400;0;0;1515;12929
8;0,000016;1;1024KiB;128MiB;128;0.0064;0.04;0.05;0.28;0;13237784;69636;2444616;0;0;1516;12927
9;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13283792;69788;2446152;0;0;1469;12972
10;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.07;0;13265444;69940;2447836;0;0;1475;12964
