run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;280;235;8;2,50;15,12;14,88;14,00;17,25;enp6s18;5727;6597
2;298;250;8;2,50;15,00;15,38;14,12;17,88;enp6s18;9115;10367
3;302;253;8;7,50;15,12;14,88;14,12;17,38;enp6s18;8111;9228
4;304;255;8;6,25;14,88;14,62;13,75;16,00;enp6s18;4576;5230
5;286;240;8;6,25;14,12;14,38;13,50;16,00;enp6s18;5787;6528
6;278;233;8;1,25;14,75;14,88;13,75;17,38;enp6s18;6824;7714
7;288;241;8;8,75;14,75;14,88;14,00;16,75;enp6s18;6008;6896
8;290;243;8;6,25;14,62;14,62;14,25;15,12;enp6s18;6738;7877
9;285;239;8;7,50;16,00;15,50;13,38;18,62;enp6s18;3482;4454
10;257;216;8;6,25;14,62;14,75;14,25;17,25;enp6s18;8555;9942
