run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;35653325617;21564588151;3201114031;472909320;8.00;5980.00;34727.20;41.60;13.60;43.60;0.00;1.03;36.09;3.74;5.35;5.00;8.00;2.00
2;31153131937;22870325072;2594227857;370894689;5.60;4903.00;33962.80;38.40;12.60;47.80;0.00;.43;41.30;5.28;5.35;5.02;5.60;2.20
3;37386916123;32454141791;2938174208;439943269;10.80;4469.40;29521.40;38.60;11.80;49.00;0.00;.56;39.63;8.63;6.09;5.29;10.80;1.40
4;44548060603;42624179909;3300520280;510816729;5.00;4458.60;35713.00;35.20;10.40;53.60;0.00;.56;41.29;9.35;6.72;5.56;5.00;4.00
5;37089698953;39853122886;2578989900;406450625;5.40;5003.00;39794.60;42.00;10.80;46.60;0.00;.59;37.02;9.33;7.38;5.90;5.40;5.00
6;36922914771;42232362742;2511694259;404226419;6.40;4782.40;37082.80;41.20;10.80;47.40;0.00;.69;39.41;7.27;7.24;6.00;6.40;5.40
7;52340793029;70144569237;3261664819;560739622;15.80;6377.40;46752.40;50.40;11.80;37.40;0.00;.59;31.17;9.32;7.75;6.24;15.80;2.60
8;42424694886;58719121467;2524448173;431611889;6.20;4783.60;41837.40;46.40;10.60;42.20;0.00;.70;38.93;7.66;7.48;6.28;6.20;6.00
9;44954481948;62245094267;2623216805;455657641;3.80;4312.00;37759.20;37.80;9.40;52.00;0.00;.66;43.33;7.73;7.47;6.35;3.80;4.00
10;45262756785;64247708873;2656935789;463838172;4.40;4905.20;42175.80;46.20;10.20;42.80;0.00;.40;56.39;5.16;6.69;6.19;4.40;1.00
