run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;19010420545;12101187862;1679570790;261884651;1.00;2970.20;20658.20;25.60;7.60;66.00;0.00;.43;65.57;1.54;2.06;2.20;1.00;3.40
2;17177899522;10545418075;1594009256;225972043;5.60;3827.00;18634.20;33.80;11.20;54.20;0.00;.32;53.47;3.45;2.50;2.34;5.60;1.60
3;18073684251;13894949470;1550771308;226526552;10.20;3257.20;18442.20;29.20;9.60;60.60;0.00;.36;57.92;4.27;2.80;2.45;10.20;1.60
4;18112536776;15288293592;1544326937;227414989;10.40;3729.60;22991.80;34.20;10.80;54.80;0.00;.39;54.54;3.95;2.95;2.52;10.40;2.20
5;22337786082;21663945733;1701910153;260729513;4.20;3304.20;20678.20;33.40;10.00;56.40;0.00;.33;60.81;3.54;3.00;2.58;4.20;1.00
6;20977216678;19324214350;1680840196;253130158;9.00;3673.40;22426.60;34.20;10.00;55.40;0.00;.33;56.78;3.85;3.33;2.74;9.00;3.40
7;22430592245;22317575688;1713622256;262394975;1.80;3430.60;21229.00;32.40;9.60;57.60;0.00;.39;56.76;3.69;3.34;2.79;1.80;2.60
8;25641512355;30073952060;1773790127;282173831;4.80;3969.40;27023.00;37.40;9.80;52.00;0.00;.33;47.87;3.96;3.50;2.90;4.80;1.60
9;24873683798;31801831007;1627787315;272467987;10.80;3465.60;21914.00;31.40;8.00;60.00;0.00;.32;59.82;5.26;3.88;3.08;10.80;3.60
10;51949722;23234162;4992141;345955;1.00;262.00;1045.20;5.80;1.40;92.60;0.00;0;99.83;2.62;3.47;2.99;1.00;1.00
