run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg
1;4421879660;5005121326;162975361;26185916;1,00;417,00;1614,00;1,20;2,60;96,60;0,00
2;3913278665;4359919263;149340431;22582941;1,60;567,40;1788,60;1,20;2,60;96,00;0,00
3;4279509063;4913052929;149608420;23016290;1,80;407,40;1634,80;1,40;2,40;96,20;0,00
4;4560170287;5195125217;159228273;25148763;1,00;422,20;1657,40;1,20;2,40;96,60;0,00
5;4572737127;5264681746;160370058;24670659;1,00;375,40;1301,40;1,00;2,20;96,60;0,00
6;4446664071;5103434847;158871139;23936338;1,40;369,20;1318,40;0,80;1,80;96,80;0,00
7;3887775997;4628828447;121090635;21414392;2,00;402,00;1657,60;0,80;2,60;96,40;0,00
8;3737725834;4362502015;128206362;21593754;2,40;351,40;1214,40;1,00;2,00;96,80;0,00
9;4322702910;4965986663;153268881;25253738;1,40;404,00;1653,40;0,80;2,00;96,80;0,00
10;4843231738;5540842523;172774095;28299202;1,00;333,60;883,20;1,00;1,40;97,60;0,00
11;3898559310;4565150731;132099243;22371343;1,40;339,20;1101,60;1,00;1,60;97,40;0,00
12;3877247444;4610389755;140894949;21047343;1,20;319,20;1426,60;1,20;1,40;97,20;0,00
13;4192188952;4941285561;149768832;24930243;1,00;1619,60;1962,00;1,00;2,60;96,20;0,00
14;4193882605;4803811099;147182066;24596374;1,20;403,80;2103,80;1,20;3,00;95,80;0,00
15;3956158089;4586071204;137426448;22925524;1,20;401,00;1699,00;1,40;2,60;96,20;0,00
16;4050017974;4646717754;136517679;23696538;1,40;468,20;2179,20;1,60;2,80;95,40;0,00
17;4296861400;4941164228;152858030;24984544;1,00;449,80;1766,40;1,20;2,80;96,20;0,00
18;4355822500;5077887511;150828521;25330114;1,00;460,60;1853,00;1,40;3,20;95,40;0,00
19;4079440468;4701180680;144250902;24014455;1,00;477,80;1920,80;1,40;3,00;95,40;0,00
20;4344353403;5005114826;151750445;25158538;1,20;328,60;962,00;1,00;1,60;97,60;0,00
