run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;41640194193;41487037412;1351710695;240487016;3.80;7439.00;118943.60;9.80;18.20;71.60;0.00;.27;67.34;1.99;2.02;2.10;3.80;1.80
2;41235780777;41370903813;1310495407;235525073;3.20;7320.20;112560.00;10.60;17.80;71.20;0.00;.26;67.05;2.32;2.14;2.14;3.20;1.00
3;40319479078;40811130906;1277786794;229184774;3.60;7644.60;121337.00;10.80;17.80;71.20;0.00;.27;67.36;2.09;2.15;2.15;3.60;1.00
4;41977381352;41802317178;1377710983;241621022;3.00;7170.80;106693.20;9.60;18.20;71.80;0.00;.34;68.28;2.97;2.35;2.21;3.00;1.00
5;40498305841;41162706114;1264186280;229426892;3.40;7059.20;107458.00;9.20;18.40;72.20;0.00;.27;69.55;2.47;2.35;2.22;3.40;1.40
6;42298003598;42186321321;1361494162;246548088;3.40;7130.00;109835.20;10.60;18.20;70.80;0.00;.30;68.19;2.41;2.33;2.22;3.40;1.20
7;39104028613;40311960575;1208884481;216921331;3.00;7268.00;111493.80;10.40;18.60;71.00;0.00;.30;68.61;2.08;2.30;2.22;3.00;1.00
8;40279392421;41023445483;1263008185;228356919;6.00;7227.60;109042.00;10.60;18.00;71.20;0.00;.37;69.01;2.06;2.27;2.22;6.00;1.20
9;41026538270;41511912523;1310588625;237021854;4.20;6911.80;102682.20;9.40;17.60;72.60;0.00;.23;67.98;1.91;2.21;2.20;4.20;1.00
10;41825202849;41797544832;1339838081;240412696;3.80;6738.80;96546.60;9.20;18.00;72.80;0.00;.37;68.63;2.12;2.23;2.21;3.80;1.20
