run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;110;92.6;8;5,00;16,38;15,38;14,38;17,75;enp0s31f6;302;283
2;110;92.3;8;6,25;16,38;16,00;14,50;18,25;enp0s31f6;916;860
3;110;92.3;8;8,75;15,38;15,38;14,00;18,00;enp0s31f6;1248;1204
4;110;92.4;8;8,75;15,25;15,88;14,00;18,75;enp0s31f6;943;922
5;111;92.9;8;6,25;15,12;15,38;14,50;18,00;enp0s31f6;1220;1115
6;110;92.1;8;3,75;15,88;15,38;14,38;17,00;enp0s31f6;991;963
7;110;92.1;8;8,75;15,12;15,38;14,50;16,88;enp0s31f6;618;575
8;110;92.3;8;5,00;14,88;15,12;13,88;17,00;enp0s31f6;1069;1055
9;111;93.2;8;8,75;15,00;15,75;14,38;22,12;enp0s31f6;622;581
10;90.9;76.2;8;10,00;16,25;16,62;14,50;21,38;enp0s31f6;741;728
