run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg
1;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14629976;30940;645136;0;0
2;0,000016;1;1024KiB;128MiB;128;0,006;0,04;0,05;0,14;0;14499588;31020;646216;0;0
3;0,000016;1;1024KiB;128MiB;128;0,0059;0,04;0,04;0,26;0;14507888;31108;647604;0;0
4;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,07;0;14493540;31188;648932;0;0
5;0,000016;1;1024KiB;128MiB;128;0,0114;0,04;0,09;5,01;0;14505492;31268;650408;0;0
6;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,05;0;14478064;31432;651988;0;0
7;0,000016;1;1024KiB;128MiB;128;0,006;0,04;0,04;0,08;0;14548932;31516;653380;0;0
8;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14505992;31596;654724;0;0
9;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,08;0;14542496;31676;655872;0;0
10;0,000016;1;1024KiB;128MiB;128;0,0073;0,04;0,06;1,57;0;14536524;31756;657312;0;0
11;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14524456;31884;658832;0;0
12;0,000016;1;1024KiB;128MiB;128;0,0072;0,04;0,05;1,49;0;14585964;32008;660580;0;0
13;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,05;0;14479280;32092;662316;0;0
14;0,000016;1;1024KiB;128MiB;128;0,0071;0,04;0,04;0,06;0;14507924;32172;663564;0;0
15;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14581520;32260;664852;0;0
16;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14469608;32344;666148;0;0
17;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14497164;32464;667672;0;0
18;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;14474264;32576;668812;0;0
19;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,06;0;14596400;32660;670176;0;0
20;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,06;0;14484056;32740;671548;0;0
