run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;109;91.2;8;5,00;14,50;14,62;13,75;16,75;enp0s31f6;1076;1097
2;109;91.6;8;3,75;15,75;14,75;14,25;16,38;enp0s31f6;1265;1255
3;108;91.0;8;6,25;16,25;15,12;14,00;19,25;enp0s31f6;1861;1858
4;108;90.9;8;6,25;14,25;15,12;13,88;18,12;enp0s31f6;3871;3666
5;109;91.6;8;10,00;15,12;14,50;14,12;15,75;enp0s31f6;2740;2763
6;109;91.1;8;11,25;15,25;15,00;13,88;17,00;enp0s31f6;2522;2524
7;109;91.3;8;8,75;16,50;15,00;14,00;17,62;enp0s31f6;1010;1022
8;108;90.8;8;10,00;14,38;14,50;14,00;16,62;enp0s31f6;1136;1141
9;109;91.6;8;11,25;14,25;14,75;13,88;16,00;enp0s31f6;885;889
10;110;92.5;8;10,00;14,50;14,75;13,88;17,00;enp0s31f6;0;0
