run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;7069734805;2665066559;502549726;28643391;1.00;3701.40;7584.40;2.60;1.40;96.00;0.00;.03;94.60;0.06;0.01;0.00;1.00;1.00
2;6170061652;2249144433;467278453;22289080;1.00;4280.20;7784.00;3.60;1.40;95.00;0.00;0;94.94;0.25;0.07;0.02;1.00;1.20
3;6651162764;2430009391;483707327;22844119;1.00;4967.40;8752.60;3.80;1.40;94.40;0.00;0;95.04;0.74;0.23;0.08;1.00;1.00
4;6861989836;2475830958;512045397;24434715;1.00;3374.60;5030.20;2.40;1.00;96.40;0.00;0;95.78;0.36;0.21;0.08;1.00;1.00
5;6128908036;2256872237;479008035;23258711;1.00;4921.20;8610.60;3.20;1.60;94.80;0.00;0;95.02;0.47;0.30;0.12;1.00;1.00
6;6612039468;2392961803;509421665;23674247;1.60;5517.20;7899.40;3.00;2.00;94.80;0.00;0;95.15;0.70;0.40;0.16;1.60;1.20
7;6874770739;2388651628;498757200;22001993;1.20;4098.60;5710.60;2.60;1.60;96.00;0.00;0;95.81;0.76;0.45;0.19;1.20;1.00
8;6872369024;2422352562;492524547;23489919;1.00;4594.20;8155.40;3.80;1.80;94.60;0.00;0;95.06;0.55;0.43;0.19;1.00;1.00
9;6744789339;2426581972;505845574;25032431;1.00;5147.20;9067.00;4.00;2.00;94.20;0.00;0;95.82;0.73;0.47;0.22;1.00;1.20
10;6462179634;2301158896;471459453;23763065;1.00;4782.20;7349.40;3.20;1.80;94.80;0.00;0;95.13;0.44;0.44;0.22;1.00;1.00
