run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;269;225;8;5,00;14,88;15,12;13,75;16,88;enp6s18;824;923
2;264;221;8;5,00;15,75;14,88;13,88;17,38;enp6s18;1312;1532
3;220;185;8;8,75;15,00;14,88;13,38;17,38;enp6s18;683;819
4;248;208;8;6,25;14,38;14,62;14,00;15,50;enp6s18;1113;1311
5;196;165;8;5,00;14,62;14,62;13,50;16,12;enp6s18;1185;1390
6;241;202;8;6,25;14,62;14,88;13,88;16,88;enp6s18;1008;1193
7;260;218;8;5,00;14,50;15,12;13,62;17,88;enp6s18;1320;1519
8;272;228;8;5,00;14,38;14,50;14,12;15,62;enp6s18;576;659
9;277;233;8;7,50;16,62;16,50;14,25;24,12;enp6s18;2757;3248
10;290;243;8;6,25;14,62;14,50;14,38;15,12;enp6s18;1353;1558
