run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;43506731635;28099098015;3833978507;579108682;6.80;5628.60;35493.20;38.80;13.20;47.20;0.00;.46;32.07;4.47;5.45;5.54;6.80;2.80
2;22226255265;16804674915;1846368706;265261057;18.60;6462.60;38992.40;45.00;13.40;41.60;0.00;.56;42.09;5.93;5.57;5.57;18.60;3.20
3;51721885031;47719025413;3982068827;622156728;7.40;4480.20;26582.80;41.20;13.20;45.20;0.00;.69;31.73;6.39;5.86;5.67;7.40;5.00
4;46135781071;42994176856;3583082389;564293650;7.40;5526.20;34974.60;47.00;13.60;38.80;0.00;.52;32.10;9.17;6.87;6.04;7.40;9.20
5;53261675436;56924381663;3787258952;613348783;14.00;5617.40;37638.40;43.80;12.80;43.40;0.00;.46;38.40;9.28;7.50;6.32;14.00;2.00
6;43390535473;49055102073;3044982105;491770159;27.40;5890.00;34417.20;54.20;12.20;33.20;0.00;.63;39.85;12.60;8.77;6.84;27.40;5.60
7;56715879968;71718084774;3679191144;624586941;12.80;5437.40;42141.20;46.60;11.20;41.40;0.00;.56;38.42;7.44;8.02;6.70;12.80;7.00
8;42983561241;52856511487;2793466482;459175801;13.20;6261.60;39414.40;51.20;12.40;35.60;0.00;.66;38.10;5.98;7.53;6.62;13.20;5.80
9;43274818985;58620951317;2627782927;445948526;7.40;5294.00;43073.60;46.60;11.60;40.80;0.00;.39;42.00;5.99;7.45;6.66;7.40;6.60
10;42574761182;57410759617;2545043417;430024295;4.80;4856.40;38267.60;48.00;10.60;40.60;0.00;.63;41.75;6.89;7.56;6.76;4.80;5.80
