run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg
1;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,05;0;15245620;25928;573568;0;0
2;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,1;0;15256796;26028;575028;0;0
3;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,08;0;15239020;26116;576028;0;0
4;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,07;0;15253052;26260;577608;0;0
5;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,08;0;15253696;26388;578836;0;0
6;0,000016;1;1024KiB;128MiB;128;0,0055;0,04;0,04;0,09;0;15227420;26492;580476;0;0
7;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,08;0;15246284;26620;582064;0;0
8;0,000016;1;1024KiB;128MiB;128;0,0057;0,04;0,04;0,05;0;15243280;26700;583112;0;0
9;0,000016;1;1024KiB;128MiB;128;0,0058;0,04;0,04;0,05;0;15244024;26828;584448;0;0
10;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15245740;26956;585652;0;0
11;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15257824;27044;586768;0;0
12;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,08;0;15239880;27124;587944;0;0
13;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15230144;27216;589652;0;0
14;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,08;0;15231524;27296;590972;0;0
15;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,08;0;15229784;27444;593292;0;0
16;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15232652;27556;594988;0;0
17;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,07;0;15233356;27644;597096;0;0
18;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15204928;27732;598504;0;0
19;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,09;0;15226520;27816;599628;0;0
20;0,000016;1;1024KiB;128MiB;128;0,0056;0,04;0,04;0,08;0;15221552;28012;602116;0;0
