run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg
1;19192098515;23633033596;608195406;119427703;2,00;1033,60;7671,00;3,80;10,60;85,20;0,00
2;19809774154;24302047305;620781030;120175418;2,00;1124,80;9454,80;4,40;10,20;85,20;0,00
3;20229633124;24483621752;653784190;123011301;2,20;1164,20;8571,40;4,40;10,60;84,80;0,00
4;20346597525;24640877150;646258061;122087452;4,40;1131,20;9308,00;4,40;11,20;84,40;0,00
5;21575640719;26588577855;686212236;130529096;1,20;1208,00;9341,00;4,80;11,00;84,40;0,00
6;20741088849;25626760995;646405144;126133367;2,00;1202,80;9938,20;5,00;11,40;83,40;0,00
7;20252761957;24855012715;644354922;124073221;3,20;946,00;6790,40;3,80;9,80;86,00;0,00
8;20586953113;25495164199;640419298;125343333;2,00;1196,40;9659,80;4,60;11,00;84,00;0,00
9;20494141656;25458086409;616385783;121682353;3,00;1215,00;10362,20;5,00;11,00;83,60;0,00
10;20812023922;25967537146;648445489;125451904;3,20;1275,20;9056,40;5,40;11,60;83,00;0,00
11;20019916756;25648385084;609038710;121412330;1,60;1074,60;8733,00;4,80;10,80;84,40;0,00
12;21377407979;26785774967;686748863;130838879;1,20;1008,40;7347,00;4,60;10,40;84,80;0,00
13;21411041407;27463121831;662968007;130378008;1,40;974,20;7620,00;4,20;9,80;85,80;0,00
14;21431747634;27144116087;670627049;129730198;2,80;1014,40;9063,60;4,20;9,60;85,80;0,00
15;20575731370;26377216602;641334144;125105854;2,20;992,60;7586,40;3,80;9,40;86,40;0,00
16;21489920271;27520466622;684647492;129274911;1,40;1094,40;7556,20;4,80;10,00;85,00;0,00
17;22121622787;28410130199;704562629;135474097;1,40;1086,40;7389,20;4,60;10,20;85,00;0,00
18;22403331963;29134563774;683865698;134419719;2,20;1081,60;8275,20;5,40;9,80;84,60;0,00
19;20877258332;26732084538;659012999;126900984;3,20;1078,20;8443,80;4,60;10,00;85,40;0,00
20;21415974505;27834944944;659318886;130951760;1,60;1026,60;6646,60;4,40;10,80;84,80;0,00
