run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;38047411608;13992278340;2806996565;152337879;2.20;23643.40;51564.00;19.60;8.20;72.20;0.00;0;68.16;0.90;1.34;1.37;2.20;1.00
2;42730706208;15472023344;3090406217;162069285;5.20;27791.20;49886.20;21.20;8.40;70.00;0.00;0;68.09;1.89;1.53;1.44;5.20;1.20
3;41339319913;15052438737;2953808797;167297624;2.80;27005.60;52781.00;21.20;9.00;69.40;0.00;0;67.50;1.66;1.55;1.45;2.80;1.60
4;43235724137;15538755775;3073128056;174512678;3.00;27588.40;52583.80;21.40;9.20;69.20;0.00;0;65.55;1.84;1.62;1.48;3.00;1.00
5;41850656006;15113351641;2973494478;167574772;5.00;28082.00;51767.00;21.20;9.60;68.80;0.00;0;67.31;2.26;1.73;1.52;5.00;1.40
6;42149028804;15347644488;3014684574;176164879;1.80;24266.00;45766.00;20.00;7.80;72.00;0.00;0;67.77;3.15;2.06;1.65;1.80;1.20
7;43066976900;15474756579;3036451937;180935434;1.60;28476.40;52014.80;22.20;9.20;68.40;0.00;0;65.46;3.09;2.18;1.71;1.60;1.00
8;40654070856;15820842009;2791678996;175298756;3.60;24649.20;49216.80;20.80;8.40;70.40;0.00;0;65.42;3.58;2.45;1.83;3.60;1.00
9;43908131639;15729910353;3087279264;189609436;4.20;27545.40;50770.80;22.00;9.60;68.60;0.00;0;65.73;2.61;2.37;1.84;4.20;1.40
10;43395389837;15553743637;2970404584;193869320;1.60;27682.40;55012.00;22.20;10.20;67.80;0.00;0;65.08;2.72;2.45;1.89;1.60;1.20
