run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;112;93.9;8;2,50;14,75;15,12;13,75;17,00;enp0s31f6;410;486
2;112;93.7;8;3,75;15,00;15,50;14,38;18,88;enp0s31f6;581;660
3;112;93.8;8;5,00;15,00;15,75;14,62;18,00;enp0s31f6;580;658
4;112;93.6;8;6,25;15,50;15,12;14,38;17,25;enp0s31f6;486;540
5;111;93.3;8;7,50;16,12;15,25;14,62;17,12;enp0s31f6;587;697
6;111;92.9;8;5,00;22,50;15,88;14,50;24,50;enp0s31f6;598;714
7;111;93.5;8;7,50;15,25;15,50;14,25;17,12;enp0s31f6;528;611
8;112;93.9;8;3,75;16,00;15,12;14,62;17,62;enp0s31f6;442;523
9;111;92.9;8;3,75;15,38;15,62;14,50;17,38;enp0s31f6;584;674
10;111;93.3;8;6,25;15,88;15,50;14,62;17,75;enp0s31f6;427;489
