run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;217;182;8;2,50;14,38;14,75;14,25;17,00;enp6s18;6095;6996
2;241;202;8;5,00;14,75;14,62;14,25;16,00;enp6s18;6040;6949
3;212;178;8;3,75;16,50;14,88;14,12;16,88;enp6s18;6490;7427
4;175;146;8;2,50;14,38;14,50;13,00;15,62;enp6s18;4703;5451
5;186;156;8;6,25;15,00;14,75;13,00;16,88;enp6s18;6798;7664
6;204;171;8;0,00;14,38;14,38;13,12;15,00;enp6s18;6587;7538
7;175;147;8;0,00;14,75;14,50;13,88;15,50;enp6s18;7360;8401
8;204;171;8;5,00;14,38;14,75;13,75;17,25;enp6s18;6897;7872
9;205;172;8;6,25;15,75;15,12;13,12;19,00;enp6s18;5236;5949
10;224;188;8;5,00;14,62;14,88;13,88;16,62;enp6s18;6223;7121
