run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;110;92.0;8;10,00;15,12;14,75;14,00;16,62;enp0s31f6;2069;2097
2;110;91.9;8;11,25;15,12;15,12;13,88;18,38;enp0s31f6;2577;2560
3;109;91.6;8;7,50;14,38;14,88;14,00;18,25;enp0s31f6;1081;1198
4;109;91.5;8;13,75;15,62;15,38;14,00;18,88;enp0s31f6;2676;2689
5;110;92.1;8;13,75;14,38;14,62;14,00;16,00;enp0s31f6;978;971
6;109;91.1;8;7,50;14,38;14,50;13,88;16,12;enp0s31f6;2725;2768
7;109;91.7;8;5,00;14,38;14,75;14,00;17,62;enp0s31f6;1186;1185
8;109;91.5;8;8,75;15,00;14,62;13,38;16,62;enp0s31f6;2414;2410
9;109;91.6;8;5,00;15,25;14,75;14,00;16,88;enp0s31f6;0;0
10;112;94.2;8;8,75;17,38;15,75;13,88;22,50;enp0s31f6;0;0
