run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;269;226;8;7,50;14,38;14,62;14,12;15,75;enp6s18;1709;1992
2;272;228;8;5,00;14,88;14,88;14,25;17,25;enp6s18;1432;1670
3;246;206;8;3,75;14,62;14,62;13,75;15,75;enp6s18;2941;3357
4;256;215;8;1,25;14,50;14,75;14,25;15,75;enp6s18;2472;2816
5;199;167;8;22,50;13,62;13,75;12,75;15,50;enp6s18;3234;3642
6;192;161;8;10,00;14,50;14,25;12,75;17,62;enp6s18;2157;2442
7;197;165;8;16,25;14,12;14,25;12,88;16,88;enp6s18;1620;1837
8;129;109;8;15,00;14,00;14,25;12,88;16,38;enp6s18;2041;2428
9;170;143;8;10,00;13,50;14,25;12,62;16,62;enp6s18;3391;3974
10;201;169;8;21,25;14,12;14,38;13,00;16,50;enp6s18;1032;1318
