run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;26652930036;14632073576;2446742953;336646039;8.20;5012.00;31613.80;39.20;13.00;47.20;0.00;.63;43.92;3.36;4.75;5.25;8.20;2.00
2;31292228756;25029920319;2523559976;365221930;3.60;4722.20;32708.60;41.00;12.00;47.00;0.00;.56;42.47;4.18;4.60;5.14;3.60;2.60
3;33372642377;30787174990;2578528282;386399048;21.40;5266.20;29244.80;45.40;13.80;40.60;0.00;.76;34.48;6.48;5.07;5.26;21.40;3.60
4;32034343185;31345621204;2378457762;363373602;9.40;4589.60;31713.80;43.60;12.80;43.20;0.00;.73;36.26;7.22;5.54;5.41;9.40;4.40
5;37372917302;37795144737;2661937865;408207179;5.00;4639.80;35525.00;42.00;11.80;45.40;0.00;.73;41.92;5.88;5.45;5.39;5.00;5.40
6;37944855909;42760897736;2582198130;414348187;7.60;5423.60;43570.20;45.60;11.20;42.40;0.00;.63;48.14;6.81;5.73;5.48;7.60;4.80
7;38950013903;49328574870;2503474549;419428126;7.80;5550.40;44880.20;47.20;10.80;41.40;0.00;.66;41.32;5.84;5.73;5.50;7.80;6.20
8;43166187600;55105203094;2663990617;449743186;9.20;6105.60;43528.00;47.20;10.80;40.80;0.00;.43;32.47;5.49;5.49;5.43;9.20;8.40
9;48687610593;64129551154;3030425714;512125402;10.60;5634.60;39479.60;45.80;11.60;42.20;0.00;.63;31.75;9.29;6.59;5.81;10.60;8.80
10;58464599562;79341187962;3598021538;608832185;8.00;4765.20;31715.20;37.60;8.60;53.40;0.00;.33;38.75;7.11;6.31;5.77;8.00;2.20
