Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765498063,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1765498064,10,,Aggregated,0.000000,0.000000,52,78,91,97,110,150,150,150,150,150,150,69,5,52,60.078388406469934,14.761400001589209,150.08819999638945,211.14492753623188
1765498065,30,,Aggregated,0.000000,0.000000,47,75,85,97,120,230,240,240,240,240,240,143,5,47,63.50151748275157,6.758100003935397,243.59569999796804,217.2937062937063
1765498066,40,,Aggregated,69.000000,5.000000,51,83,87,92,120,150,230,240,240,240,240,210,5,51,64.48330952428348,6.758100003935397,243.59569999796804,219.89523809523808
1765498067,50,,Aggregated,69.000000,5.000000,33,60,82,86,110,150,230,240,240,240,240,290,5,32,49.44556310400567,4.279899992980063,243.59569999796804,234.5103448275862
1765498068,60,,Aggregated,67.000000,2.500000,18,40,68,82,94,120,230,230,240,240,240,365,6,18,41.354475891192074,4.279899992980063,243.59569999796804,236.64109589041095
1765498069,70,,Aggregated,72.500000,1.250000,13,20,37,51,87,110,150,230,240,240,240,516,6,13,32.07019379909232,3.4623999963514507,243.59569999796804,251.77713178294573
1765498070,80,,Aggregated,73.000000,1.200000,10,16,21,36,84,99,150,230,240,240,240,665,8,10,26.828693684879376,3.4623999963514507,243.59569999796804,250.5248120300752
1765498071,90,,Aggregated,85.333333,1.000000,10,13,17,22,74,92,120,180,240,240,240,822,8,10,23.43597810292263,3.4623999963514507,243.59569999796804,249.59367396593674
1765498072,100,,Aggregated,85.333333,1.000000,10,14,17,21,62,90,120,180,240,240,240,960,8,10,22.08026583401382,3.4623999963514507,243.59569999796804,251.1625
1765498073,110,,Aggregated,86.285714,1.000000,10,13,16,18,46,86,110,150,240,240,240,1110,10,10,20.49855991051142,3.4623999963514507,243.59569999796804,248.01351351351352
