run;read_iops;write_iops;read_bw_MBps;write_bw_MBps;read_lat_avg_ms;write_lat_avg_ms
1;5626;5626;22.0;22.0;0.17158;0.00367603
2;5423;5423;21.2;21.2;0.17783;0.00382033
3;5175;5175;20.2;20.2;0.18671;0.00387004
4;5331;5331;20.8;20.8;0.18089;0.00384193
5;5287;5287;20.7;20.7;0.18281;0.00378079
6;5093;5093;19.9;19.9;0.18947;0.00402545
7;5159;5159;20.2;20.2;0.18745;0.0037545
8;4940;4940;19.3;19.3;0.19523;0.00420801
9;5474;5474;21.4;21.4;0.17604;0.00372318
10;5009;5009;19.6;19.6;0.19254;0.00415829
