run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;109;91.7;8;5,00;14,25;14,50;13,75;16,38;enp0s31f6;1632;1647
2;109;91.6;8;7,50;15,25;14,88;14,12;17,00;enp0s31f6;744;744
3;108;90.9;8;8,75;14,50;14,75;13,88;17,00;enp0s31f6;783;798
4;109;91.2;8;3,75;14,50;25,62;14,12;89,50;enp0s31f6;1264;1289
5;108;90.4;8;10,00;14,50;14,75;13,75;16,50;enp0s31f6;1264;1252
6;109;91.2;8;10,00;14,75;14,50;13,75;15,50;enp0s31f6;1496;1495
7;109;91.8;8;8,75;15,38;14,88;14,00;18,00;enp0s31f6;2276;2273
8;109;91.2;8;8,75;14,38;15,12;13,88;19,12;enp0s31f6;1705;1702
9;109;91.6;8;7,50;15,00;15,25;13,25;19,25;enp0s31f6;1236;1243
10;84.5;70.9;8;8,75;14,00;15,38;13,62;24,25;enp0s31f6;0;0
