run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;40313820368;40478084669;1280434433;243929356;3.80;7839.60;123574.20;13.00;19.40;67.40;0.00;.83;68.52;2.52;2.15;2.23;3.80;1.00
2;40190105468;40347168292;1298298004;244739125;4.00;7482.60;117568.00;11.00;19.80;69.00;0.00;.30;66.10;1.69;1.98;2.16;4.00;1.00
3;40714616765;40975968818;1314439589;237796931;3.00;8037.00;128098.80;12.20;19.60;68.00;0.00;.23;69.98;1.94;2.07;2.18;3.00;1.20
4;39064216493;40111696081;1219334900;224617817;3.20;7063.40;100334.40;10.80;19.40;69.40;0.00;.23;69.05;2.08;2.10;2.18;3.20;1.00
5;40260935061;40718570693;1289334844;235603666;2.40;6558.40;92879.60;9.80;19.20;70.80;0.00;.26;67.78;2.42;2.17;2.20;2.40;1.00
6;38643759650;40006490691;1228022162;220109230;2.60;7003.40;94501.60;11.40;19.00;69.20;0.00;.26;70.17;2.85;2.35;2.26;2.60;1.40
7;39243150319;40505756115;1230626904;226093424;2.80;7684.20;120977.60;12.40;19.00;68.00;0.00;.33;70.01;1.95;2.19;2.21;2.80;1.00
8;39426187574;40287281529;1276232448;229050892;4.60;7600.40;114655.40;11.00;19.80;68.60;0.00;.26;67.95;2.20;2.24;2.23;4.60;1.20
9;40994256842;40973542146;1321556030;241273454;3.20;7470.40;113721.60;11.60;19.40;68.80;0.00;.30;70.09;1.93;2.16;2.20;3.20;1.20
10;41082455133;41320603638;1314362462;240687383;2.20;7346.60;115147.40;11.00;19.80;69.00;0.00;.30;67.17;2.31;2.21;2.21;2.20;1.20
