run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;112;93.7;8;7,50;16,88;16,00;14,50;19,12;enp0s31f6;520;590
2;112;94.0;8;6,25;15,00;15,38;14,62;17,50;enp0s31f6;698;790
3;112;93.9;8;7,50;14,88;15,50;14,62;18,00;enp0s31f6;663;752
4;111;93.1;8;6,25;14,62;15,38;14,38;17,25;enp0s31f6;547;630
5;112;93.8;8;11,25;15,00;14,75;13,88;15,38;enp0s31f6;498;583
6;111;93.4;8;8,75;15,88;15,38;14,12;17,00;enp0s31f6;529;639
7;111;93.3;8;6,25;14,88;15,00;14,38;17,00;enp0s31f6;850;890
8;112;93.6;8;8,75;15,00;15,00;14,12;18,12;enp0s31f6;737;817
9;112;93.6;8;11,25;14,25;15,00;13,62;16,75;enp0s31f6;734;835
10;112;93.7;8;11,25;14,75;14,88;14,12;15,75;enp0s31f6;652;762
