run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13519104;44536;1513028;0;0;2145;13202
2;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.08;0;13478392;44680;1515224;0;0;2151;13194
3;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13502460;44776;1516764;0;0;2158;13185
4;0,000016;1;1024KiB;128MiB;128;0.0060;0.04;0.04;0.23;0;13486264;44920;1517840;0;0;2172;13170
5;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13466128;45040;1519180;0;0;2199;13142
6;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13457028;45136;1520728;0;0;2198;13141
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;13443856;45232;1522184;0;0;2209;13128
8;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13405540;45336;1523700;0;0;2245;13091
9;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13394104;45472;1525352;0;0;2255;13080
10;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13388940;45600;1527652;0;0;2257;13074
