run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;156;131;8;6,25;14,38;14,75;14,12;16,25;enp6s18;9603;11349
2;156;131;8;5,00;15,00;14,88;14,25;17,62;enp6s18;11226;13162
3;186;156;8;3,75;14,50;14,75;12,88;16,75;enp6s18;7500;8714
4;163;136;8;3,75;13,50;14,75;13,00;17,25;enp6s18;6710;7765
5;116;97.4;8;7,50;14,38;15,25;13,50;17,50;enp6s18;9864;11506
6;56.7;47.6;8;6,25;14,38;14,75;13,50;17,50;enp6s18;9044;10375
7;193;162;8;6,25;14,75;14,62;12,88;18,12;enp6s18;9850;10311
8;135;113;8;5,00;15,88;15,00;13,75;16,88;enp6s18;12578;15377
9;173;145;8;7,50;14,50;14,50;13,00;17,00;enp6s18;7324;8600
10;172;144;8;5,00;14,12;14,50;13,00;16,75;enp6s18;12331;14414
