run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;94.2;79.0;8;8,75;14,38;14,62;14,00;16,25;enp0s31f6;660;631
2;111;93.3;8;8,75;15,62;14,62;13,88;15,75;enp0s31f6;615;566
3;112;93.5;8;7,50;14,25;14,62;13,62;15,62;enp0s31f6;584;542
4;111;93.3;8;10,00;14,25;14,38;13,88;14,75;enp0s31f6;703;667
5;111;93.3;8;8,75;14,38;14,50;13,88;15,12;enp0s31f6;584;564
6;111;93.2;8;6,25;14,38;14,38;13,88;15,00;enp0s31f6;793;741
7;112;94.0;8;11,25;14,38;14,62;14,00;15,75;enp0s31f6;845;804
8;109;91.4;8;12,50;11,88;12,38;11,38;14,88;enp0s31f6;645;651
9;111;93.5;8;7,50;14,25;14,75;14,00;16,12;enp0s31f6;630;611
10;111;93.1;8;3,75;16,62;14,88;14,12;17,50;enp0s31f6;745;728
