run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0063;0.04;0.05;0.31;0;12941596;61164;2485164;0;0;1772;12637
2;0,000016;1;1024KiB;128MiB;128;0.0059;0.04;0.04;0.13;0;12952156;61316;2489840;0;0;1758;12646
3;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;12932616;61416;2494968;0;0;1773;12626
4;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;12894568;61568;2500252;0;0;1815;12579
5;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;12851808;61668;2505648;0;0;1839;12550
6;0,000016;1;1024KiB;128MiB;128;0.0084;0.04;0.06;2.02;0;12851208;61820;2509924;0;0;1840;12545
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.06;0;12735500;61968;2516924;0;0;1945;12432
8;0,000016;1;1024KiB;128MiB;128;0.0061;0.04;0.05;0.09;0;12659180;62112;2522256;0;0;2023;12350
9;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.08;0;13052544;62212;2527232;0;0;1622;12745
10;0,000016;1;1024KiB;128MiB;128;0.0065;0.04;0.05;0.36;0;13013824;62324;2533584;0;0;1653;12708
