run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000000;1;1024KiB;128MiB;128;0.0051;0.04;0.04;0.08;0;15562948;16788;443592;0;0;669;15194
2;0,000000;1;1024KiB;128MiB;128;0.0052;0.04;0.04;0.06;0;15541304;16844;443584;0;0;682;15180
3;0,000000;1;1024KiB;128MiB;128;0.0050;0.04;0.04;0.09;0;15537588;16876;443632;0;0;695;15167
4;0,000000;1;1024KiB;128MiB;128;0.0050;0.04;0.04;0.08;0;15527876;16908;443620;0;0;685;15178
5;0,000000;1;1024KiB;128MiB;128;0.0053;0.04;0.04;0.06;0;15547484;16940;443672;0;0;685;15178
6;0,000000;1;1024KiB;128MiB;128;0.0049;0.04;0.04;0.06;0;15531660;16972;443656;0;0;688;15174
7;0,000000;1;1024KiB;128MiB;128;0.0049;0.04;0.04;0.05;0;15535032;17004;443612;0;0;687;15176
8;0,000000;1;1024KiB;128MiB;128;0.0049;0.04;0.04;0.05;0;15526484;17036;443616;0;0;693;15170
9;0,000000;1;1024KiB;128MiB;128;0.0053;0.04;0.04;0.06;0;15524888;17068;443632;0;0;695;15167
10;0,000000;1;1024KiB;128MiB;128;0.0049;0.04;0.04;0.04;0;15551688;17100;443716;0;0;682;15181
