run;read_iops;write_iops;read_bw_MBps;write_bw_MBps;read_lat_avg_ms;write_lat_avg_ms
1;7356;7356;28.7;28.7;0.12267;0.00592999
2;7433;7433;29.0;29.0;0.12322;0.00695148
3;7930;7930;31.0;31.0;0.11537;0.00640216
4;7285;7285;28.5;28.5;0.1207;0.0083014
5;8550;8550;33.4;33.4;0.10875;0.00475463
6;7990;7990;31.2;31.2;0.11259;0.00568644
7;8516;8516;33.3;33.3;0.10713;0.00605386
8;8371;8371;32.7;32.7;0.10758;0.00494325
9;8040;8040;31.4;31.4;0.11276;0.00534022
10;8619;8619;33.7;33.7;0.10628;0.0060016
