run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;112;94.2;8;10,00;14,62;15,50;14,25;19,50;enp0s31f6;546;626
2;111;92.8;8;11,25;14,75;15,00;14,50;16,62;enp0s31f6;489;540
3;112;93.6;8;8,75;14,88;15,38;14,62;18,25;enp0s31f6;510;585
4;112;93.7;8;12,50;12,25;12,50;12,25;13,25;enp0s31f6;564;648
5;112;94.0;8;11,25;15,62;15,75;14,62;18,88;enp0s31f6;531;619
6;112;93.7;8;8,75;15,75;15,25;14,25;18,12;enp0s31f6;594;704
7;111;93.3;8;11,25;15,38;15,50;14,62;18,25;enp0s31f6;586;676
8;112;93.6;8;8,75;15,88;15,00;14,75;16,12;enp0s31f6;423;499
9;112;93.6;8;10,00;14,88;15,38;14,25;18,25;enp0s31f6;445;490
10;112;93.7;8;10,00;15,00;15,00;14,62;16,00;enp0s31f6;572;661
