run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000000;1;1024KiB;128MiB;128;0.0051;0.04;0.04;0.05;0;15486860;30872;458960;0;0;724;15116
2;0,000000;1;1024KiB;128MiB;128;0.0052;0.04;0.04;0.06;0;15480664;30920;458976;0;0;726;15114
3;0,000000;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.08;0;15440688;30960;459064;0;0;759;15081
4;0,000000;1;1024KiB;128MiB;128;0.0050;0.04;0.04;0.06;0;15447256;31024;459068;0;0;747;15092
5;0,000000;1;1024KiB;128MiB;128;0.0065;0.04;0.05;0.09;0;15450812;31072;459068;0;0;750;15090
6;0,000000;1;1024KiB;128MiB;128;0.0048;0.04;0.04;0.05;0;15443240;31112;459072;0;0;755;15084
7;0,000000;1;1024KiB;128MiB;128;0.0049;0.04;0.04;0.06;0;15437076;31160;459084;0;0;756;15084
8;0,000000;1;1024KiB;128MiB;128;0.0049;0.04;0.04;0.05;0;15447720;31200;459076;0;0;765;15075
9;0,000000;1;1024KiB;128MiB;128;0.0053;0.04;0.04;0.08;0;15451644;31248;459076;0;0;753;15087
10;0,000000;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.09;0;15446208;31312;459084;0;0;756;15084
