run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;51470461943;18600545818;3682977390;202279928;2.80;30363.60;65824.60;22.40;10.60;67.20;0.00;0;61.63;1.29;1.88;1.99;2.80;1.20
2;52022380241;18595847347;3715206189;206474670;2.80;32316.40;70373.80;24.40;11.40;64.40;0.00;0;61.15;2.04;2.02;2.03;2.80;1.20
3;51319031364;18582497130;3615215993;214957150;2.80;30135.80;71703.40;24.60;11.20;64.40;0.00;0;60.55;1.62;1.93;2.00;2.80;1.40
4;52085320491;18941284040;3645366212;219060774;3.60;30479.40;65629.20;24.20;10.20;65.60;0.00;0;60.68;2.37;2.09;2.06;3.60;1.20
5;54966937474;19519000118;3812975553;236510026;4.40;33008.40;69508.40;25.80;10.40;63.80;0.00;0;58.35;2.88;2.28;2.12;4.40;1.20
6;55641182466;19860008805;3844999204;244906183;2.40;33544.40;69008.60;25.80;11.00;63.20;0.00;0;59.00;3.53;2.52;2.21;2.40;1.00
7;53584949799;19242057916;3740775037;235691183;3.80;33186.00;67967.60;26.00;11.00;63.00;0.00;0;58.80;3.32;2.63;2.27;3.80;1.20
8;53579293292;19299234857;3646808400;241228051;4.00;33277.20;73231.40;26.60;11.80;61.80;0.00;0;61.32;2.78;2.62;2.28;4.00;1.20
9;51472446705;18487227624;3517913893;237193104;3.20;26840.40;59758.00;22.00;9.00;69.20;0.00;0;60.11;3.07;2.75;2.35;3.20;1.60
10;53314880766;19252408271;3609430559;240479079;4.20;31457.20;72192.60;25.40;10.00;64.00;0.00;0;61.49;4.15;3.09;2.49;4.20;1.40
