run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;86.0;72.2;8;5,00;14,62;15,12;14,12;16,50;enp6s18;11320;12913
2;85.8;72.0;8;8,75;14,62;14,62;14,38;15,50;enp6s18;10438;11923
3;85.7;71.9;8;5,00;14,50;15,62;14,38;18,88;enp6s18;12044;13598
4;85.9;72.1;8;5,00;15,25;14,88;14,25;17,12;enp6s18;11612;13184
5;85.9;72.0;8;5,00;14,88;15,00;14,38;18,25;enp6s18;11448;13174
6;85.7;71.9;8;3,75;15,62;15,12;14,25;17,50;enp6s18;12369;14069
7;85.4;71.7;8;13,75;14,50;15,00;14,38;16,50;enp6s18;10670;12204
8;85.7;71.9;8;10,00;17,12;15,25;14,38;18,62;enp6s18;12177;13669
9;85.3;71.5;8;7,50;14,50;15,00;14,25;16,62;enp6s18;10921;12425
10;84.6;71.0;8;3,75;14,38;15,38;13,75;18,62;enp6s18;9502;10867
