run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13582632;31008;1373632;0;0;2226;13264
2;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;13572112;31104;1375104;0;0;2235;13253
3;0,000016;1;1024KiB;128MiB;128;0.0073;0.04;0.05;1.52;0;13576156;31216;1376712;0;0;2229;13257
4;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13494224;31320;1378160;0;0;2308;13177
5;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13487008;31416;1379724;0;0;2313;13170
6;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13470792;31560;1381428;0;0;2327;13155
7;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.07;0;13397468;31676;1382652;0;0;2410;13070
8;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13322768;31780;1384116;0;0;2470;13008
9;0,000016;1;1024KiB;128MiB;128;0.0061;0.04;0.05;0.39;0;13349624;31892;1385828;0;0;2442;13035
10;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;13272764;31988;1387332;0;0;2530;12945
