run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;106;88.7;8;8,75;14,25;14,75;13,62;16,12;enp0s31f6;645;733
2;109;91.1;8;5,00;14,38;14,50;13,12;16,00;enp0s31f6;610;719
3;110;92.0;8;6,25;14,50;14,62;13,38;16,25;enp0s31f6;548;623
4;110;92.4;8;7,50;14,38;14,75;13,25;16,62;enp0s31f6;590;682
5;106;88.8;8;6,25;16,00;15,00;13,38;17,62;enp0s31f6;662;733
6;109;91.0;8;8,75;16,75;14,50;13,25;17,25;enp0s31f6;530;608
7;105;88.0;8;10,00;14,38;14,38;13,62;15,38;enp0s31f6;820;918
8;110;92.5;8;11,25;14,62;14,75;13,50;16,50;enp0s31f6;543;629
9;110;91.9;8;7,50;15,62;14,75;13,00;16,88;enp0s31f6;717;815
10;107;89.8;8;6,25;16,75;15,12;13,38;17,25;enp0s31f6;524;590
