run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000000;1;1024KiB;128MiB;128;0.0047;0.03;0.04;0.07;0;15432136;33636;459368;0;0;767;15070
2;0,000000;1;1024KiB;128MiB;128;0.0048;0.03;0.04;0.07;0;15447144;33676;459396;0;0;753;15084
3;0,000000;1;1024KiB;128MiB;128;0.0048;0.03;0.04;0.10;0;15446356;33708;459392;0;0;753;15083
4;0,000000;1;1024KiB;128MiB;128;0.0048;0.03;0.04;0.09;0;15439448;33764;459432;0;0;760;15077
5;0,000000;1;1024KiB;128MiB;128;0.0051;0.03;0.04;0.09;0;15443292;33804;459456;0;0;756;15081
6;0,000000;1;1024KiB;128MiB;128;0.0048;0.04;0.04;0.05;0;15453696;33860;459436;0;0;746;15091
7;0,000000;1;1024KiB;128MiB;128;0.0060;0.04;0.04;0.15;0;15451732;33916;459416;0;0;748;15089
8;0,000000;1;1024KiB;128MiB;128;0.0049;0.03;0.04;0.09;0;15446644;33956;459428;0;0;754;15082
9;0,000000;1;1024KiB;128MiB;128;0.0049;0.03;0.04;0.08;0;15445532;34004;459424;0;0;754;15083
10;0,000000;1;1024KiB;128MiB;128;0.0047;0.04;0.04;0.04;0;15453536;34044;459464;0;0;746;15091
