run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;110;92.6;8;5,00;14,50;14,88;13,88;17,38;enp0s31f6;380;350
2;110;92.6;8;6,25;15,88;15,12;14,12;19,62;enp0s31f6;639;603
3;110;92.6;8;7,50;14,38;15,00;14,00;16,75;enp0s31f6;1307;1238
4;110;92.2;8;11,25;14,50;15,00;14,00;18,50;enp0s31f6;1699;1640
5;110;92.2;8;7,50;14,38;15,25;14,00;18,62;enp0s31f6;857;819
6;110;92.5;8;6,25;16,75;14,88;13,62;17,25;enp0s31f6;1162;1096
7;106;88.9;8;8,75;14,50;15,12;14,00;17,88;enp0s31f6;597;556
8;110;92.6;8;8,75;14,50;15,12;13,62;18,38;enp0s31f6;1025;963
9;113;94.7;8;10,00;14,38;14,50;14,12;15,50;enp0s31f6;0;0
10;113;94.8;8;10,00;14,50;15,25;13,88;17,38;enp0s31f6;0;0
