run;latencia_ms_promedio;threads;block_size;total_size;total_operations;total_time_s;min_latency_ms;avg_latency_ms;max_latency_ms;swpd_avg;free_avg;buff_avg;cache_avg;si_avg;so_avg;mem_used;mem_free
1;0,000016;1;1024KiB;128MiB;128;0.0061;0.04;0.05;0.31;0;14296916;39808;1368228;0;0;1489;13990
2;0,000016;1;1024KiB;128MiB;128;0.0058;0.04;0.04;0.05;0;14424312;39908;1369480;0;0;1392;14085
3;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.08;0;14402808;40016;1371172;0;0;1412;14064
4;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.08;0;14391240;40160;1372068;0;0;1411;14064
5;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.07;0;14409692;40260;1373324;0;0;1404;14070
6;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.08;0;14407480;40356;1375244;0;0;1404;14069
7;0,000016;1;1024KiB;128MiB;128;0.0057;0.04;0.04;0.05;0;14394136;40500;1377160;0;0;1414;14056
8;0,000016;1;1024KiB;128MiB;128;0.0056;0.04;0.04;0.08;0;14369144;40644;1378552;0;0;1437;14032
9;0,000016;1;1024KiB;128MiB;128;0.0065;0.04;0.05;0.50;0;14350096;40812;1380432;0;0;1455;14012
10;0,000016;1;1024KiB;128MiB;128;0.0055;0.04;0.04;0.07;0;14396108;40908;1382500;0;0;1408;14058
