run;transfer_MB;bandwidth_Mbps;hops;avg_loss_pct;avg_latency_ms;avg_best_ms;avg_worst_ms;avg_stdev_ms;interfaz;rx_pps;tx_pps
1;108;90.9;8;6,25;15,25;15,62;14,38;18,38;enp0s31f6;2748;2399
2;85.6;71.8;8;5,00;15,25;15,38;14,38;18,38;enp0s31f6;1418;1352
3;109;91.5;8;6,25;15,88;15,75;14,38;20,25;enp0s31f6;1498;1482
4;109;91.2;8;8,75;15,62;15,62;14,38;17,50;enp0s31f6;1172;1181
5;108;90.5;8;6,25;17,62;16,38;14,50;19,50;enp0s31f6;1524;1543
6;97.8;82.0;8;7,50;16,62;15,88;13,38;18,50;enp0s31f6;881;866
7;109;91.2;8;13,75;14,88;15,12;14,62;15,88;enp0s31f6;1709;1661
8;66.8;56.1;8;5,00;16,62;16,38;13,25;23,62;enp0s31f6;2057;1861
9;104;87.4;8;5,00;15,75;15,38;14,62;17,25;enp0s31f6;2512;2108
10;109;91.6;8;8,75;16,12;15,25;14,12;17,12;enp0s31f6;768;771
