Method,Name,Error,Occurrences
GET,/Categorias,"ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None)",172
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 7'),494
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 6'),685
GET,/Productos,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 192.168.100.15 timed out. (connect timeout=None)')",69
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 3'),446
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 8'),608
GET,/Categorias,"ConnectionAbortedError(10053, 'Se ha anulado una conexión establecida por el software en su equipo host', None, 10053, None)",72
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 2'),482
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 3'),437
GET,/Categorias,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 192.168.100.15 timed out. (connect timeout=None)')",342
POST,Agregar Item,CatchResponseError('Fallo al agregar item 1 en mesa 4'),451
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 7'),444
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 1'),552
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 4'),475
GET,/Pedidos/5925,HTTPError('500 Server Error: Internal Server Error for url: /Pedidos/5925'),3
POST,Agregar Item,CatchResponseError('Fallo al agregar item 4 en mesa 12'),426
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 11'),495
GET,/Mesas,RemoteDisconnected('Remote end closed connection without response'),1451
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 9'),452
PUT,Abrir Mesa,CatchResponseError('Fallo al abrir mesa 3'),518
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 7'),467
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 9'),569
GET,/Productos,"ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None)",57
POST,Agregar Item,CatchResponseError('Fallo al agregar item 3 en mesa 9'),448
GET,/Pedidos/5925,RemoteDisconnected('Remote end closed connection without response'),4129
POST,Agregar Item,CatchResponseError('Fallo al agregar item 2 en mesa 12'),455
PUT,Cerrar Mesa,CatchResponseError('Fallo al cerrar mesa 2'),545
