run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;31958508949;37194261056;1164672236;221318295;2.40;3996.80;44123.60;11.00;19.40;69.20;0.00;.51;63.17;1.29;1.28;0.83;2.40;1.00
2;40922069442;40924077941;1389087066;234114928;3.20;6615.80;86101.20;9.40;18.40;71.60;0.00;.33;67.82;1.67;1.40;0.91;3.20;1.00
3;45925637696;43267586867;1576137789;265399232;5.00;5855.00;68622.80;9.00;18.40;72.00;0.00;.33;67.88;1.75;1.50;0.98;5.00;1.00
4;41245138696;40525191166;1366641023;236991505;6.20;7244.60;100992.60;10.80;19.40;69.40;0.00;.37;71.70;1.58;1.51;1.01;6.20;1.20
5;40376941482;40067851541;1341447836;232972918;3.00;7995.00;117940.20;12.00;19.80;67.80;0.00;.40;72.06;1.69;1.59;1.07;3.00;1.00
6;34376144984;37632689845;1165576262;196119381;2.80;9340.40;149075.00;13.20;20.20;66.00;0.00;.51;70.34;2.24;1.77;1.17;2.80;1.40
7;37501471057;39403887972;1245131468;209070284;2.00;7587.20;111623.60;10.40;19.40;69.80;0.00;.40;65.46;3.27;2.10;1.32;2.00;1.00
8;43765144278;42850254792;1502633339;251738976;2.20;4136.60;40534.20;8.00;18.00;73.40;0.00;.30;68.43;3.53;2.45;1.49;2.20;1.20
9;46666616302;43622055302;1628589841;270489118;4.00;4293.00;47603.40;9.00;18.60;71.60;0.00;.27;71.11;2.57;2.40;1.54;4.00;1.20
10;45259459487;42574801535;1541753901;265309072;4.00;7594.20;105541.00;11.00;19.40;69.20;0.00;.26;71.94;2.41;2.41;1.60;4.00;1.20
