run;cycles;instructions;cache-references;cache-misses;r_avg;in_avg;cs_avg;us_avg;sy_avg;id_avg;st_avg;usr_core_avg;idle_core_avg;load1;load5;load15;r_avg_processes;running_avg
1;46557932131;18034853613;3390905101;201435562;5.00;26189.40;70098.00;24.20;9.00;66.80;0.00;0;66.70;2.18;2.17;2.17;5.00;1.20
2;40407260219;23955658041;2119133091;155412932;7.40;20945.40;74058.20;20.00;6.60;73.60;0.00;0;87.68;1.15;1.90;2.08;7.40;1.00
3;41556843796;16687388863;2977021986;182879763;4.80;28197.20;76133.60;25.40;10.20;64.20;0.00;0;63.03;1.22;1.76;2.02;4.80;1.20
4;40662417934;20111749871;2716196162;174060772;2.40;24560.60;64461.20;23.80;8.20;68.00;0.00;0;64.50;1.74;1.77;2.01;2.40;1.20
5;50290692154;18975511287;3601250101;216027707;1.60;27383.20;75312.40;24.20;9.80;65.80;0.00;0;62.05;2.38;2.03;2.09;1.60;1.00
6;48432249031;21498739768;3335368268;204166016;1.80;22379.80;59746.20;20.20;7.60;71.80;0.00;0;83.96;1.93;1.97;2.06;1.80;1.40
7;51379655526;30780769457;3053976389;218736870;3.00;24749.40;65544.20;21.60;9.00;69.40;0.00;0;69.33;2.59;2.14;2.11;3.00;1.80
8;52470857117;22513466266;3605585079;238078049;5.40;26838.00;72691.60;23.40;9.60;67.20;0.00;0;64.40;3.06;2.37;2.20;5.40;1.00
9;51232326957;19396405503;3630087708;225970921;2.20;29443.40;72605.60;25.00;10.40;64.80;0.00;0;61.89;3.28;2.59;2.28;2.20;1.00
10;53845440354;21061701273;3760992750;243710798;4.00;30575.00;71336.40;26.60;10.20;62.80;0.00;0;59.06;3.33;2.73;2.35;4.00;1.40
